"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"XM_928134",-0.204643769882902,5.79204393892872,-71.7232998931871,1.33190430385856e-15,1.38634576727451e-11,26.5229152247089
"NM_020988",-0.22319340896653,5.77974637539366,-69.2745051729145,1.92427887749414e-15,1.38634576727451e-11,26.1440924725959
"NM_004171",-0.197093709251161,5.76413538784404,-65.3006257408569,3.59713408559536e-15,1.38634576727451e-11,25.5252009104068
"NM_020465",-0.168171960813241,5.80266607038811,-65.1190246832936,3.70478129154467e-15,1.38634576727451e-11,25.4783165754794
"NM_020309",-0.261327869882419,5.75102617169883,-64.5877267423576,4.04048244056566e-15,1.38634576727451e-11,25.3008403333538
"NM_133499",-0.244704319791678,5.75607464444144,-63.0218819856949,5.23934835333142e-15,1.38634576727451e-11,25.106212675288
"NM_152390",-0.196192720793885,5.77374949613766,-63.0185706056166,5.24226362210196e-15,1.38634576727451e-11,25.155084575098
"NM_004065",-0.185601268876236,5.80138661085773,-62.9604273589999,5.2937419117295e-15,1.38634576727451e-11,25.1221826590761
"NM_003385",-0.214967320924103,5.76887228629222,-62.4706335427441,5.75001079419584e-15,1.38634576727451e-11,25.0600778255353
"NM_080417",-0.216588005146583,5.76780850780433,-60.7786489674235,7.68947548398961e-15,1.38634576727451e-11,24.7710351030196
"NM_005910",-0.165723560502063,5.79734808166671,-59.9930730641832,8.82463020165768e-15,1.38634576727451e-11,24.5914259489978
"NM_004408",-0.177299804040825,5.76651607371353,-59.7930942871833,9.14205266211482e-15,1.38634576727451e-11,24.5957675992272
"NM_014279",-0.146229141142373,5.78961390135209,-59.7194174323529,9.26212971627517e-15,1.38634576727451e-11,24.5432956474585
"NM_006651",-0.254082519142567,5.73411677313608,-59.3351548032387,9.91701728054276e-15,1.38634576727451e-11,24.4010703272404
"NM_022910",-0.173182606704156,5.80200841610488,-59.1256462011019,1.02952887327719e-14,1.38634576727451e-11,24.4287539938084
"NM_021136",-0.28816704598374,5.75003473455711,-59.0932889636447,1.03551047308304e-14,1.38634576727451e-11,24.360519416466
"NM_001678",-0.145489040246598,5.81743375684641,-58.6588236892962,1.11961844055599e-14,1.38634576727451e-11,24.2988329676408
"NM_206852",-0.2693689644613,5.75433130020378,-58.087390441434,1.24182384341371e-14,1.38634576727451e-11,24.24316011894
"NM_006950",-0.246361257104589,5.75840879325954,-58.0069052980497,1.26017848662084e-14,1.38634576727451e-11,24.262930794702
"NM_020372",-0.164652309974418,5.78150562451426,-57.9232325177784,1.27957522206927e-14,1.38634576727451e-11,24.2319092248801
"NM_005639",-0.258378969193089,5.74831510558653,-57.7673835212821,1.31658016574445e-14,1.38634576727451e-11,24.1843054652678
"NM_001217",-0.153458735147339,5.79132351136006,-57.5147299006027,1.3790823695966e-14,1.38634576727451e-11,24.1326097995246
"NM_014767",-0.222586955802118,5.7465243647131,-57.4235693698356,1.40242489904154e-14,1.38634576727451e-11,24.1565970811783
"NM_004574",-0.270707367168551,5.73228187670988,-57.3964787287318,1.40944476719482e-14,1.38634576727451e-11,24.0265320500104
"NM_001025201",-0.145092634221203,5.81303519552578,-56.8832784861433,1.54995852211296e-14,1.38634576727451e-11,23.9661279930249
"NM_014770",-0.171381285345706,5.78076285590303,-56.8782195897661,1.5514177530374e-14,1.38634576727451e-11,24.0385944011012
"NM_001005336",-0.176799764710154,5.76683559590726,-56.5731426587493,1.64225756878967e-14,1.38634576727451e-11,24.0012673991882
"NM_152793",-0.181027284103817,5.77316895319611,-56.4767245156723,1.67216488855202e-14,1.38634576727451e-11,23.9774019607373
"NM_001002235",0.194819196091733,5.7659294348619,56.3683506044319,1.70649375309821e-14,1.38634576727451e-11,23.9700606208608
"NM_000598",0.144509851075462,5.79344260441697,56.2864993790499,1.73293220909314e-14,1.38634576727451e-11,23.8869075018563
"NM_002866",-0.193514904921538,5.74212654895419,-55.9900462260454,1.83250535529856e-14,1.40912882881126e-11,23.902082657001
"NM_003657",-0.115133423945045,5.82298653656484,-55.8580544181992,1.87883843841501e-14,1.40912882881126e-11,23.7328609528599
"NM_006158",-0.261155532820904,5.72688624705693,-55.0679964854115,2.18442042788677e-14,1.49082699444324e-11,23.6172915799153
"NM_001332",-0.154468151095884,5.7810404865889,-55.0131759093644,2.20755742408412e-14,1.49082699444324e-11,23.6639318823536
"NM_001843",-0.218105498940686,5.75051097966075,-54.9375273840527,2.23992619167008e-14,1.49082699444324e-11,23.7019332344292
"NM_199187",0.19482064964777,5.75603636797147,54.9034035129508,2.25469685395921e-14,1.49082699444324e-11,23.6950274095696
"NM_004172",-0.184079418404015,5.76997854945017,-54.7523282819469,2.32138282033052e-14,1.49082699444324e-11,23.6476476742633
"NM_016609",-0.165895493986896,5.78609145459982,-54.6659548657616,2.36047607453513e-14,1.49082699444324e-11,23.5926093419227
"NM_016235",-0.137430988794242,5.8069374339415,-54.23995392204,2.56412132005664e-14,1.57792081234255e-11,23.4458774388597
"NM_145891",-0.270502484673155,5.72596411508455,-53.7620949784495,2.81570829933364e-14,1.65389287095927e-11,23.3563518715653
"NM_001001995",-0.183275695125194,5.76228644017891,-53.7446313955,2.82540032122209e-14,1.65389287095927e-11,23.456319561762
"NM_022080",-0.13930766460609,5.80409706504935,-53.439183325866,3.0009575880573e-14,1.71483290746132e-11,23.2876696944401
"NM_001798",0.184251477393085,5.75740138846426,52.4954650524019,3.6232208638192e-14,2.02226280771304e-11,23.209516832755
"NM_001001502",-0.269756331845171,5.7324759933199,-51.9449425067329,4.05052169474662e-14,2.20937546986179e-11,23.045610606898
"NM_007177",-0.298518077644079,5.73055696211429,-51.5517036177184,4.38942470866654e-14,2.27578039281282e-11,22.9026816896026
"NM_153685",-0.1559191828346,5.75683421965324,-51.4464654127264,4.485299363982e-14,2.27578039281282e-11,22.9753123401933
"NM_152280",-0.206911339548686,5.7541474987271,-51.3767864917543,4.5500379841318e-14,2.27578039281282e-11,22.9904483661172
"NM_012288",0.146923006376562,5.75352509590336,51.3025367932242,4.62015015605596e-14,2.27578039281282e-11,22.945373613297
"NM_001040092",-0.13923922039098,5.78445521301335,-51.2750701479951,4.64638496865952e-14,2.27578039281282e-11,22.8717546619831
"NM_001288",0.156058222972482,5.74756308889942,51.03278230621,4.88499499352384e-14,2.30658876302674e-11,22.9026177573918
"NM_004207",0.201468548588241,5.72908654473794,50.9484743412499,4.97114073327664e-14,2.30658876302674e-11,22.9038126071335
"NM_014737",-0.126288890120131,5.77661654803262,-50.7939175210642,5.13341461720449e-14,2.30658876302674e-11,22.7758877531727
"NM_002668",0.139012250594806,5.77278497151384,50.736508993501,5.19515804829799e-14,2.30658876302674e-11,22.7810494379555
"NM_003085",-0.266248573208109,5.73375372219518,-50.6459702207998,5.29419061117703e-14,2.30658876302674e-11,22.8001160868377
"NM_001878",0.150797418139328,5.7643230077543,50.6410975781314,5.29957862287062e-14,2.30658876302674e-11,22.7863976390287
"NM_001164",-0.153042540683588,5.77723141889666,-50.5671922817623,5.38204044706239e-14,2.30658876302674e-11,22.744179816423
"NM_005302",-0.134770183309077,5.78837269508112,-50.3016518094553,5.69010967809897e-14,2.39583565393641e-11,22.6473384093835
"NM_014731",-0.139320203098125,5.78076524851903,-50.1312666696021,5.89791577005196e-14,2.43774608492316e-11,22.6304072939752
"NM_003617",-0.166423408632392,5.74862921317079,-50.0556459495411,5.99279245876942e-14,2.43774608492316e-11,22.6971649914859
"NM_001001996",-0.14034402205849,5.79527064541813,-49.9646734082039,6.10914861419639e-14,2.44365944567856e-11,22.5604822325682
"NM_021721",-0.206920293940006,5.71479012237968,-49.6615081983027,6.51510101805497e-14,2.5633184333331e-11,22.6186133362033
"NM_016250",-0.137953387080807,5.81168706751849,-49.191788580706,7.20356800946848e-14,2.7236673718172e-11,22.3466305652515
"NM_003360",-0.169394642594185,5.73608319354235,-49.163051111019,7.24819937803752e-14,2.7236673718172e-11,22.5206208045942
"NM_001148",-0.211306569426092,5.74849534490378,-49.0853137666955,7.3704541264762e-14,2.7236673718172e-11,22.5084170342158
"NM_017786",-0.191434342798951,5.73215880417586,-49.0814436827943,7.37659913200491e-14,2.7236673718172e-11,22.5119144603388
"NM_002839",-0.19671524300798,5.72381155633867,-48.930931598544,7.61998798366803e-14,2.73248292089959e-11,22.47901199754
"NM_003081",-0.341078483902976,5.71366868104307,-48.9259565949904,7.62818148751135e-14,2.73248292089959e-11,22.1719206342885
"NM_002515",-0.220547438898412,5.72470437012031,-48.6963735808852,8.01697899717449e-14,2.8193821752605e-11,22.4213547414079
"NM_001071",0.160928303826871,5.77788774871443,48.6456770307398,8.10572375387393e-14,2.8193821752605e-11,22.3222433546921
"NM_001037",-0.184843636290672,5.74974890081058,-48.4920288044578,8.38131540536706e-14,2.87359385326871e-11,22.3631221583759
"NM_003920",0.151128871576986,5.76404074830008,48.3940231233915,8.56244855997267e-14,2.89434880900485e-11,22.2889141149601
"NM_001015001",-0.130256408535404,5.76169091436805,-48.265266499024,8.80695394993959e-14,2.93565131664653e-11,22.2479470053085
"NM_177402",-0.223895824175634,5.70466120685992,-48.1624156819403,9.00775399652143e-14,2.96145336871937e-11,22.2639776950939
"NM_002216",0.232265133347719,5.72901475298418,48.0235236925169,9.28690858492555e-14,2.97744623311968e-11,22.2753744962545
"NM_014710",-0.184185392747614,5.7265699908845,-48.0149151168213,9.30451947849899e-14,2.97744623311968e-11,22.2795471816175
"NM_014232",-0.126668131463147,5.78482391065079,-47.8519281144253,9.64493626563304e-14,3.02724252835596e-11,22.0948143703006
"NM_004194",-0.189735590788958,5.71890925500139,-47.8203734043769,9.7124031118087e-14,3.02724252835596e-11,22.2371911180619
"NM_138282",-0.298346225238901,5.707453183433,-47.7517962477421,9.86081430122564e-14,3.03409670806943e-11,22.038440358675
"NM_033133",-0.137112212390435,5.79412465957689,-47.5436560424076,1.03266612756684e-13,3.13721355210181e-11,22.007350702106
"NM_001149",-0.159492104828739,5.73778000149593,-47.2874711026309,1.09333772907034e-13,3.28001318721101e-11,22.0934804741018
"NM_012168",-0.129766349345079,5.75322497919497,-46.9763138409741,1.17232719900318e-13,3.3888511274967e-11,21.9685068231591
"NM_005438",0.19925851195377,5.73305784287527,46.9662371284082,1.17498748047756e-13,3.3888511274967e-11,22.0448562338709
"NM_003716",-0.212198899723028,5.7267313509535,-46.7908424827872,1.2223659057178e-13,3.3888511274967e-11,22.0077424935295
"NM_002854",-0.142389786300469,5.77277941085858,-46.7519271741189,1.23315873545873e-13,3.3888511274967e-11,21.8786175749026
"NM_003179",-0.179583857960218,5.79764662531248,-46.7343616605798,1.2380644870834e-13,3.3888511274967e-11,21.8437457689056
"NM_052827",0.188531849797603,5.75499035125486,46.7185487315636,1.24249903362994e-13,3.3888511274967e-11,21.9527649953248
"NM_021953",0.227656955651772,5.72197971924663,46.655599385238,1.2603254587196e-13,3.3888511274967e-11,21.9697537859997
"NM_014747",-0.181923291464757,5.74089329529648,-46.6081719030447,1.27394107255401e-13,3.3888511274967e-11,21.9461150504854
"NM_003644",-0.115106693499548,5.81460605318912,-46.5872991784541,1.27998418744408e-13,3.3888511274967e-11,21.717271029711
"NM_152296",-0.256224836895777,5.72036312661756,-46.5546197867791,1.28950866415233e-13,3.3888511274967e-11,21.9222976175823
"NM_000189",0.156325422446654,5.75269687024671,46.5241726365953,1.29845234271863e-13,3.3888511274967e-11,21.8855633084059
"NM_002045",-0.191215811917526,5.77046560078357,-46.5221136641805,1.29905959887374e-13,3.3888511274967e-11,21.8747600540906
"NM_014449",-0.133302860760979,5.76168699388089,-46.429693894274,1.32663965338548e-13,3.4235862022851e-11,21.8220878801182
"NM_005025",-0.204565883581741,5.73984511073381,-46.2091202345419,1.39508756120124e-13,3.53820111607813e-11,21.8671521674951
"NM_021200",-0.155891153827954,5.80497754733173,-46.1920676438894,1.40053794178093e-13,3.53820111607813e-11,21.6722305146187
"NM_004615",-0.108327684471038,5.82287547157231,-46.0420676308859,1.44949732020083e-13,3.61567840473075e-11,21.5642733207248
"NM_002391",0.146588510912315,5.78218968196484,46.0017654827548,1.46296868121307e-13,3.61567840473075e-11,21.6789438367023
"NM_004321",-0.328286963894176,5.67584928622461,-45.9619792893082,1.47640201526505e-13,3.61567840473075e-11,21.3646931316445
"NM_000533",-0.10001749510876,5.83732810855259,-45.8426062429325,1.51752319430214e-13,3.67657137684346e-11,21.4818272993352
"NM_001365",-0.188094496372957,5.71886097509429,-45.8016902525156,1.53190474035144e-13,3.67657137684346e-11,21.7819396454418
"NM_003020",-0.170457755388582,5.73054112929051,-45.6763422906719,1.57689921529005e-13,3.70390280081356e-11,21.7362042857055
