Acc	UGCluster	LLID
BT006851	Hs.19383	183
BC021281	Hs.480218	9429
M14745	Hs.150749	596
BC027258	Hs.150749	596
BC062429	Hs.194143	672
BC011935	Hs.370408	1312
BT006910	Hs.546248	1509
AF305909	Hs.302002	1103
BC012390	Hs.1321	2161
K02765	Hs.529053	718
BC007095	Hs.339639	9167
BC012049	Hs.154654	1545
BC014410	Hs.76224	2202
BC013971	Hs.110637	3206
BC022347	Hs.529517	4057
BC033089	Hs.204238	3934
BC007659	Hs.406515	1728
U09550 	Hs.1154	5016
BC069144	Hs.113216	5020
AB085845	Hs.368072	5241
BC039131	Hs.513883	27043
BC051265	Hs.459927	5757; 84754; 326626
BC071733	Hs.535499	5914
BC002538	Hs.104879	5272
BC020765	Hs.414795	5054
AB086950	Hs.492203	7015
BC051829	Hs.473152	7022
BC032811	Hs.162807	7031
BC016924	Hs.551516	7706
BC004490	Hs.25647	2353
BC006499	Hs.37003	3265

