Acc	UGCluster	LLID
BC013410	Hs.353175	56895
BC011046	Hs.273621	1267; 7266
BC069698	Hs.997	8909
BC010883	Hs.475392	55831
BC011392	Hs.368610	9061
BC012103	Hs.459691	5170
AF498983	Hs.149037	3358
BC002354	Hs.413899	3359
BC047526	Hs.73739	3363
U71285	Hs.498187	4548; 149448
BC036814	Hs.333427	51293
AF141293	Hs.58324	11096
BC000729	Hs.463506	8165
AF072756	Hs.97633	8852
BC010141	Hs.517034	55902
BC003160	Hs.532492	53
BC039594	Hs.124126	10552
BC000590	Hs.529303	10109
BC012597	Hs.1288	58
BC017554	Hs.500483	59
BC009978	Hs.118127	70
M86407	Hs.445037	89
BC014969	Hs.492740	22926
BC066313	Hs.254406	29777
BC034563	Hs.520207	64746
BC033234	Hs.522433	28989
BC064411	Hs.281342	140; 57413
BC012150	Hs.514819	163
BC013796	Hs.518460	1173
M73548	Hs.158932	324
BC013780	Hs.197029	135
BC029831	Hs.281342	140; 57413
BC017853	Hs.12341	103
BC003568	Hs.500118	132
BC032039	Hs.375179	122622
BC063883	Hs.99884	141
BC005122	Hs.13014	26286
BC021023	Hs.389277	10139
BC070140	Hs.516468	151188
BC014169	Hs.18021	54936
U03865	Hs.368632	147
BC063486	Hs.2551	154
BC015961	Hs.441047	133
BC034761	Hs.483909	11318
BC022247	Hs.468760	54812
BC000321	Hs.204041	10598
BC011451	Hs.315137	16
BC030589	Hs.435689	8854; 283665
BC032371	Hs.293970	4329
BC033287	Hs.474584	10327
BC065565	Hs.155247	230
Y09443	Hs.516543	8540
BC025700	Hs.519313	27125
BC019253	Hs.75823	10962
AB102641	Hs.533526	546
BC041593	Hs.436911	259
BC026246	Hs.212838	2; 144571
BC010439	Hs.87469	55515
AK091217	Hs.162902	221656
BC000977	Hs.1227	210
BC010854	Hs.372840	322
BC033777	Hs.444982	79800
BC032503	Hs.533262	29882
BC009559	Hs.112783	51390
BC014122	Hs.83347	14
BC036375	Hs.298469	1636
AK092527	Hs.499725	288; 113201
BC063861	Hs.83293	54467
BC015453	Hs.157378	57037
BC063581	Hs.31845	140460; 145758
BC020817	Hs.73708	26287
BC011659	Hs.422986	307
BC034001	Hs.162963	118429
AF172932	Hs.437877	269
BC041862	Hs.8763	115201
BC000719	Hs.283610	23192
M14081	Hs.120759	338
BC003557	Hs.515465	348
BC030745	Hs.315369	361
BC040630	Hs.176658	343
BC026258	Hs.104624	366
BC000877	Hs.23918	60370
BC010420	Hs.485910	57038
BC051877	Hs.268787	25820
BC000693	Hs.153961	10121
BC044590	Hs.433512	10096
BC032760	Hs.517438	84164; 8649
BC015936	Hs.521530	9070
BC015518	Hs.332422	444
S66427	Hs.161000	5926
BC062536	Hs.533633	51742
BC010239	Hs.460499	11273
BC006195	Hs.387567	47
BC016350	Hs.514870	515
BC066310	Hs.246310	522
BC015128	Hs.486360	10632
BC001690	Hs.546238	514
BC010380	Hs.271135	509
AB013452	Hs.435052	10396
BC037354	Hs.183075	487
AB040920	Hs.437241	57205
AB117973	Hs.496414	538
BC068023	Hs.249227	534
BC004537	Hs.389107	527
BC034808	Hs.534515	90423
BC008861	Hs.106876	9114
BC031609	Hs.147111	479
BC013680	Hs.34114	477
BC000006	Hs.291196	481
BC035801	Hs.78854	482
AB055982	Hs.429294	19
BC006323	Hs.370480	22
BC041091	Hs.126378	64137
BC062333	Hs.472535	54998
BC038949	Hs.370950	64651
BC023588	Hs.397010	84153
BC017463	Hs.518200	83666
BC004518	Hs.258326	51760
BC032230	Hs.529019	671
BC030771	Hs.356076	331
BC065497	Hs.514527	332; 8475
BC008923	Hs.208681	585
BC068292	Hs.171825	8553
BC017794	Hs.487635	28969
AB007894	Hs.194684	8927
BC065292	Hs.522817	10134
BC017457	Hs.12677	51651
BC002461	Hs.283454	663
