Ont	Terms	Annotated	Significant	Expected	classic	Genes
BP	GO:0060047:Heart contraction	282	37	0.88	< 1e-30	ABCC9,ADRA1A,ADRA1B,ADRB1,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,CHRM2,GJD3,HCN4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNK3,KCNN2,MYH6,NPPA,PDE4D,PRKACA,RYR2,RYR3,SCN5A,SLC8A1,TRPC1
BP	GO:0008016:Regulation of heart contraction	251	36	0.78	< 1e-30	ABCC9,ADRA1A,ADRA1B,ADRB1,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,CHRM2,GJD3,HCN4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNK3,KCNN2,MYH6,NPPA,PDE4D,PRKACA,RYR2,RYR3,SCN5A,SLC8A1,TRPC1
BP	GO:0003015:Heart process	292	37	0.91	< 1e-30	ABCC9,ADRA1A,ADRA1B,ADRB1,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,CHRM2,GJD3,HCN4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNK3,KCNN2,MYH6,NPPA,PDE4D,PRKACA,RYR2,RYR3,SCN5A,SLC8A1,TRPC1
BP	GO:1903522:Regulation of blood circulation	297	36	0.92	< 1e-30	ABCC9,ADRA1A,ADRA1B,ADRB1,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,CHRM2,GJD3,HCN4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNK3,KCNN2,MYH6,NPPA,PDE4D,PRKACA,RYR2,RYR3,SCN5A,SLC8A1,TRPC1
BP	GO:0061337:Cardiac conduction	146	30	0.45	< 1e-30	ABCC9,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,GJD3,HCN4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNK3,KCNN2,NPPA,PDE4D,PRKACA,RYR2,RYR3,SCN5A,SLC8A1,TRPC1
BP	GO:0035637:Multicellular organismal signaling	204	32	0.63	< 1e-30	ABCC9,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,GJD3,HCN4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNK3,KCNN2,NPPA,PDE4D,PRKACA,RYR2,RYR3,SCN5A,SCN7A,SLC8A1,TRPC1
BP	GO:0008015:Blood circulation	544	40	1.69	< 1e-30	ABCC9,ADRA1A,ADRA1B,ADRB1,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,CHRM2,GJD3,HCN4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNK3,KCNN2,MYH6,NPPA,PDE2A,PDE4D,PRKACA,RYR2,RYR3,SCN5A,SLC8A1,TGFB1,TRPC1
BP	GO:0003013:Circulatory system process	555	40	1.72	< 1e-30	ABCC9,ADRA1A,ADRA1B,ADRB1,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,CHRM2,GJD3,HCN4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNK3,KCNN2,MYH6,NPPA,PDE2A,PDE4D,PRKACA,RYR2,RYR3,SCN5A,SLC8A1,TGFB1,TRPC1
BP	GO:0098655:Cation transmembrane transport	859	42	2.67	< 1e-30	ABCC8,ABCC9,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,CLCN3,HCN1,HCN3,HCN4,KCNA4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNK3,KCNN1,KCNN2,NPPA,PDE2A,PDE4D,PPARGC1A,PRKACA,RYR2,RYR3,SCN5A,SCN7A,SLC8A1,TGFB1,TRPC1
BP	GO:0044057:Regulation of system process	614	38	1.91	< 1e-30	ABCC9,ADRA1A,ADRA1B,ADRB1,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,CHRM2,GJD3,HCN4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNK3,KCNN2,MYH6,NPPA,PDE4D,PPARGC1A,PRKACA,RYR2,RYR3,SCN5A,SLC8A1,TRPC1
BP	GO:0098662:Inorganic cation transmembrane transport	764	40	2.37	< 1e-30	ABCC8,ABCC9,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,CLCN3,HCN1,HCN3,HCN4,KCNA4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNK3,KCNN1,KCNN2,NPPA,PDE2A,PDE4D,PRKACA,RYR2,RYR3,SCN5A,SCN7A,SLC8A1,TGFB1,TRPC1
BP	GO:0030001:Metal ion transport	894	41	2.78	< 1e-30	ABCC8,ABCC9,ADRA1A,ADRB2,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,HCN1,HCN3,HCN4,KCNA4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNK3,KCNN1,KCNN2,NPPA,PDE2A,PDE4D,PRKACA,RYR2,RYR3,SCN5A,SCN7A,SLC8A1,TGFB1,TRPC1
BP	GO:0060048:Cardiac muscle contraction	140	26	0.43	< 1e-30	ADRA1A,ADRA1B,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA2D1,CACNB2,CAMK2D,CASQ2,HCN4,KCND3,KCNH2,KCNJ3,KCNJ5,KCNJ8,KCNN2,MYH6,NPPA,PDE4D,PRKACA,RYR2,SCN5A,SLC8A1
BP	GO:0098660:Inorganic ion transmembrane transport	848	40	2.63	< 1e-30	ABCC8,ABCC9,ATP1A2,ATP1B1,ATP2A2,CACNA1C,CACNA1D,CACNA1G,CACNA1H,CACNA2D1,CACNA2D2,CACNB2,CAMK2D,CASQ2,CLCN3,HCN1,HCN3,HCN4,KCNA4,KCND3,KCNH2,KCNJ11,KCNJ12,KCNJ3,KCNJ5,KCNJ8,KCNK3,KCNN1,KCNN2,NPPA,PDE2A,PDE4D,PRKACA,RYR2,RYR3,SCN5A,SCN7A,SLC8A1,TGFB1,TRPC1
